,date,city,country,lat,lng,temp,maxtemp,humidity,cloud,wind,just_date
333,2020-01-11 15:58:51,Rocha,UY,-34.48,-54.33,31.07,31.07,21,9,2.85,2020-01-11
334,2020-01-11 15:58:52,Lakes Entrance,AU,-37.88,147.98,13.33,13.33,69,52,0.89,2020-01-11
335,2020-01-11 15:57:54,Christchurch,NZ,-43.53,172.63,19.1,21.11,49,100,5.1,2020-01-11
336,2020-01-11 15:58:52,Saint-Joseph,RE,-21.37,55.62,22.93,26.0,78,90,9.3,2020-01-11
337,2020-01-11 15:58:52,Ostrovnoy,RU,68.05,39.51,-9.55,-9.55,97,48,4.4,2020-01-11
338,2020-01-11 15:58:52,Mayahi,NE,13.96,7.67,32.97,32.97,15,0,3.81,2020-01-11
339,2020-01-11 15:58:52,Burnie,AU,-41.07,145.92,10.93,11.67,86,98,1.34,2020-01-11
340,2020-01-11 15:58:52,Orange Walk District,BZ,17.83,-88.83,27.89,28.0,83,75,3.6,2020-01-11
341,2020-01-11 15:58:52,Pemba,MZ,-12.97,40.52,29.0,29.0,83,75,2.6,2020-01-11
342,2020-01-11 15:58:52,Faanui,PF,-16.48,-151.75,27.43,27.43,78,11,8.12,2020-01-11
343,2020-01-11 15:58:52,Jacareacanga,BR,-6.22,-57.75,28.59,28.59,82,47,0.95,2020-01-11
344,2020-01-11 15:58:52,Arlit,NE,18.74,7.39,31.14,31.14,13,48,4.35,2020-01-11
345,2020-01-11 15:58:52,Makakilo City,US,21.35,-158.09,23.05,24.0,88,90,7.7,2020-01-11
346,2020-01-11 15:58:53,Buchanan,LR,5.88,-10.05,30.0,30.0,79,40,6.2,2020-01-11
347,2020-01-11 15:58:53,Derbent,RU,42.07,48.29,4.94,4.94,78,100,4.02,2020-01-11
348,2020-01-11 15:58:53,Tanout,NE,14.97,8.89,30.67,30.67,16,10,5.16,2020-01-11
349,2020-01-11 15:58:53,Meulaboh,ID,4.14,96.13,28.81,28.81,68,100,0.63,2020-01-11
350,2020-01-11 15:58:53,Oktyabrskiy,RU,54.48,53.47,-10.09,-10.09,95,98,2.95,2020-01-11
351,2020-01-11 15:58:53,Necochea,AR,-38.55,-58.74,28.84,30.0,35,0,6.26,2020-01-11
352,2020-01-11 15:58:53,Batemans Bay,AU,-35.72,150.18,15.52,17.22,74,100,2.68,2020-01-11
353,2020-01-11 15:58:53,Pudozh,RU,61.81,36.53,-2.63,-2.63,92,100,2.82,2020-01-11
354,2020-01-11 15:58:53,Awjilah,LY,29.11,21.29,16.02,16.02,34,100,3.7,2020-01-11
355,2020-01-11 15:58:53,Cabra,ES,37.47,-4.44,14.25,16.0,38,0,3.1,2020-01-11
356,2020-01-11 15:58:53,Cabedelo,BR,-6.98,-34.83,31.0,31.0,52,75,4.6,2020-01-11
357,2020-01-11 15:58:54,Takaka,NZ,-40.85,172.8,15.33,16.67,89,66,5.81,2020-01-11
358,2020-01-11 15:58:54,Hays,US,30.05,-98.03,7.64,10.0,66,75,5.1,2020-01-11
359,2020-01-11 15:58:54,Cap-aux-Meules,CA,47.38,-61.86,1.0,1.0,86,90,3.6,2020-01-11
360,2020-01-11 15:58:54,Yangi Marg`ilon,UZ,40.43,71.72,3.0,3.0,64,100,1.0,2020-01-11
361,2020-01-11 15:58:54,Sioux Lookout,CA,50.1,-91.92,-30.8,-30.0,74,5,1.05,2020-01-11
362,2020-01-11 15:56:03,Portland,US,45.52,-122.68,5.27,7.0,81,90,3.6,2020-01-11
363,2020-01-11 15:58:54,Baykit,RU,61.67,96.37,-20.33,-20.33,98,80,1.79,2020-01-11
364,2020-01-11 15:57:17,Rawson,AR,-43.3,-65.1,16.48,16.48,64,0,5.81,2020-01-11
365,2020-01-11 15:58:54,Ust'-Koksa,RU,50.27,85.61,-17.41,-17.41,71,93,2.76,2020-01-11
366,2020-01-11 15:58:54,Shingu,JP,33.73,135.98,9.08,9.08,64,0,2.67,2020-01-11
367,2020-01-11 15:58:54,Atar,MR,20.52,-13.05,24.0,24.0,17,4,2.1,2020-01-11
368,2020-01-11 15:58:54,Porto-Novo,BJ,6.5,2.6,31.0,31.0,74,40,5.1,2020-01-11
369,2020-01-11 15:58:54,Paea,PF,-17.68,-149.58,23.94,24.0,73,5,1.5,2020-01-11
370,2020-01-11 15:58:55,Otjimbingwe,NA,-22.35,16.13,33.04,33.04,21,79,10.09,2020-01-11
371,2020-01-11 15:58:55,Ojinaga,MX,29.57,-104.42,6.0,6.0,45,1,0.59,2020-01-11
372,2020-01-11 15:58:55,Ucluelet,CA,48.93,-125.55,2.81,5.0,86,20,8.2,2020-01-11
373,2020-01-11 15:58:55,Knysna,ZA,-34.04,23.05,29.0,29.0,37,20,4.1,2020-01-11
374,2020-01-11 15:58:55,Souillac,MU,-20.52,57.52,25.31,25.56,100,75,3.6,2020-01-11
375,2020-01-11 15:58:55,Cabras,IT,39.93,8.53,13.01,13.01,73,31,2.23,2020-01-11
376,2020-01-11 15:58:55,Formosa,AR,-26.18,-58.18,30.0,30.0,74,90,3.1,2020-01-11
377,2020-01-11 15:58:29,Blythe,US,33.61,-114.6,2.77,3.89,69,1,1.5,2020-01-11
378,2020-01-11 15:58:55,Ilebo,CD,-4.32,20.58,29.15,29.15,52,14,1.4,2020-01-11
379,2020-01-11 15:58:55,Palmer,US,42.16,-72.33,14.13,16.67,81,75,7.2,2020-01-11
380,2020-01-11 15:58:55,Brae,GB,60.4,-1.35,6.71,8.0,93,68,13.4,2020-01-11
381,2020-01-11 15:58:55,Onega,RU,63.91,38.14,-2.79,-2.79,91,100,4.41,2020-01-11
382,2020-01-11 15:58:55,Toora-Khem,RU,52.47,96.11,-25.88,-25.88,99,1,0.63,2020-01-11
383,2020-01-11 15:58:55,Yanam,IN,16.73,82.22,26.0,26.0,69,40,4.1,2020-01-11
384,2020-01-11 15:58:55,Rio Grande,BR,-32.03,-52.1,29.16,30.0,66,40,5.07,2020-01-11
385,2020-01-11 15:58:56,Athabasca,CA,54.72,-113.29,-22.45,-22.45,98,100,2.18,2020-01-11
386,2020-01-11 15:58:56,Port Hedland,AU,-20.32,118.57,30.0,30.0,74,100,2.6,2020-01-11
387,2020-01-11 15:58:56,Hamilton,US,39.18,-84.53,17.94,19.44,72,90,3.6,2020-01-11
388,2020-01-11 15:56:12,Barcelos,PT,41.54,-8.62,13.31,14.44,66,33,2.6,2020-01-11
389,2020-01-11 15:55:23,Lubango,AO,-14.92,13.49,20.0,20.0,81,75,41.2,2020-01-11
390,2020-01-11 15:58:56,Balabac,PH,7.99,117.06,26.81,26.81,81,100,4.14,2020-01-11
391,2020-01-11 15:58:56,Esperance,AU,-33.87,121.9,18.0,18.0,63,0,5.7,2020-01-11
392,2020-01-11 15:58:56,Auki,SB,-8.77,160.7,27.74,27.74,83,100,7.69,2020-01-11
393,2020-01-11 15:58:56,Balclutha,NZ,-46.23,169.75,12.78,12.78,95,68,0.81,2020-01-11
394,2020-01-11 15:58:56,Aksarka,RU,66.56,67.8,-10.72,-10.72,83,31,6.08,2020-01-11
395,2020-01-11 15:58:56,Cidreira,BR,-30.18,-50.21,25.7,25.7,82,19,3.39,2020-01-11
396,2020-01-11 15:58:56,Alenquer,BR,-1.94,-54.74,29.0,29.0,74,40,6.2,2020-01-11
397,2020-01-11 15:58:56,Champerico,GT,14.3,-91.92,28.0,28.0,61,0,0.46,2020-01-11
398,2020-01-11 15:58:57,Wairoa,NZ,-39.03,177.37,17.22,17.22,66,81,1.79,2020-01-11
399,2020-01-11 15:58:57,Aykhal,RU,66.0,111.5,-16.0,-16.0,91,0,4.0,2020-01-11
400,2020-01-11 15:58:57,Praia da Vitoria,PT,38.73,-27.07,15.0,15.0,72,75,4.95,2020-01-11
401,2020-01-11 15:58:57,Mrakovo,RU,52.72,56.62,-16.16,-16.16,97,95,2.25,2020-01-11
402,2020-01-11 15:58:57,Qaqortoq,GL,60.72,-46.03,-17.0,-17.0,37,20,3.1,2020-01-11
403,2020-01-11 15:58:57,Hofn,IS,64.25,-15.21,2.32,2.32,54,28,16.85,2020-01-11
404,2020-01-11 15:57:10,Jagdalpur,IN,19.07,82.03,17.06,17.06,62,0,2.31,2020-01-11
405,2020-01-11 15:58:57,Tomatlan,MX,19.93,-105.25,20.15,20.15,40,96,1.66,2020-01-11
406,2020-01-11 15:58:57,Waingapu,ID,-9.66,120.26,28.49,28.49,75,100,7.25,2020-01-11
407,2020-01-11 15:58:57,Oum Hadjer,TD,13.3,19.7,33.44,33.44,13,0,4.32,2020-01-11
408,2020-01-11 15:58:57,Usogorsk,RU,63.41,48.69,-7.88,-7.88,97,97,2.24,2020-01-11
409,2020-01-11 15:58:57,Santa Rita,BR,-7.11,-34.98,31.0,31.0,52,75,4.6,2020-01-11
410,2020-01-11 15:58:57,San Lorenzo,PY,-25.33,-57.53,34.0,34.0,63,75,2.6,2020-01-11
411,2020-01-11 15:58:57,Egvekinot,RU,66.32,-179.17,-15.51,-15.51,97,100,3.26,2020-01-11
412,2020-01-11 15:58:58,Nosy Varika,MG,-20.58,48.53,26.25,26.25,80,99,2.83,2020-01-11
413,2020-01-11 15:58:58,Leningradskiy,RU,69.38,178.42,-17.45,-17.45,79,100,5.58,2020-01-11
414,2020-01-11 15:58:58,Kazanskoye,RU,55.64,69.23,-14.4,-14.4,94,99,4.2,2020-01-11
